,Date,Ngene_norm,Ngene,NgeneUCI,NgeneLCI,PMMoV,PMMoV UCI,PMMoV LCI,Ngene_norm_int,positives,Testing,City,pos_rate,positives_raw
75,2022-02-14,3.185194004006868e-05,23657.364656630823,26543.47197706093,20988.595956989244,742729159.5698926,771461011.0394264,714139854.9103943,3.185194004006868e-05,5.0,303.0,Davis,0.0165016501650165,5.0
76,2022-02-15,6.065733220964367e-05,58188.539563636354,63175.12193939394,52948.90475757576,959299353.3333336,1030727872.1212122,899290604.8484849,6.065733220964367e-05,7.0,317.0,Davis,0.022082018927444796,7.0
77,2022-02-16,3.9542814095815e-05,30191.285428945077,33625.39190995066,26668.941207796517,763508771.9298247,793450292.397661,741052631.5789475,3.9542814095815e-05,11.0,1620.0,Davis,0.006790123456790123,11.0
78,2022-02-17,9.241376058179074e-05,355856.00418300665,379946.0666143792,326274.5098039216,3850681997.385622,3976075814.901961,3716396036.601308,9.241376058179074e-05,23.0,2295.0,Davis,0.010021786492374727,23.0
79,2022-02-18,3.7851118257912e-05,30206.289350616244,34002.89247248238,26162.65496358612,798028981.4635065,841717213.3799155,756724633.6374195,3.7851118257912e-05,9.0,1770.0,Davis,0.005084745762711864,9.0
80,2022-02-19,3.5585138229604025e-05,42609.97545151485,47488.42451307511,37801.75012255473,1197409299.820191,1234172130.7663682,1157258048.8901267,3.5585138229604025e-05,1.0,942.0,Davis,0.0010615711252653928,1.0
81,2022-02-20,6.580424151684732e-05,92134.17683571512,99511.07318584708,84757.79128550128,1400125200.3205106,1448260689.3251464,1364037738.158833,6.580424151684732e-05,11.0,1182.0,Davis,0.009306260575296108,11.0
82,2022-02-21,2.2171277992036497e-05,14822.2571925113,17462.5923759059,12462.800009208846,668534181.8290843,723064703.690379,617258493.5238485,2.2171277992036497e-05,0.0,2.0,Davis,0.0,0.0
83,2022-02-22,1.7730412491115214e-05,21248.860716230367,25210.53034554974,17647.611738917978,1198441419.616056,1237290627.0157068,1160044448.1675394,1.7730412491115214e-05,5.0,659.0,Davis,0.007587253414264037,5.0
84,2022-02-23,1.5128873439509736e-05,11594.424213188291,13965.511667555653,9502.61734534,766377236.1865972,787332639.832429,738254403.3769277,1.5128873439509736e-05,9.0,1359.0,Davis,0.006622516556291391,9.0
85,2022-02-24,1.9986015206545304e-05,50478.89228108109,54872.657158918926,46085.40921657658,2525710691.171172,2627090899.6036034,2430128448.576577,1.9986015206545304e-05,6.0,729.0,Davis,0.00823045267489712,6.0
86,2022-02-25,2.160455585573316e-05,16372.51480765966,19089.86662238774,13926.241462028323,757826956.35999,777025507.8933731,741140172.1014526,2.160455585573316e-05,8.0,2241.0,Davis,0.0035698348951361,8.0
87,2022-02-26,2.7059951210913048e-05,19633.44620811288,22314.87731922399,17176.23957671958,725553644.0211642,758234729.8765433,690718910.1940036,2.7059951210913048e-05,4.0,1716.0,Davis,0.002331002331002331,4.0
